
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (235) 235 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (236) 236 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (237) 237 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (238) 238 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (239) 239 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (240) 240 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (241) 241 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (242) 242 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (243) 243 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (244) 244 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (245) 245 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (246) 246 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (247) 247 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (248) 248 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (249) 249 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
 - Run (250) 250 / 250 excecuted, epsilon 0.9999999999999974, random actions 0, random actions on zero 0, max actions 2
