,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
931,69832174,6,931,200,2000,2000,0.13,0.41,3,5,0.26,0.8,50,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
932,15737580,6,932,200,2000,2000,0.18,0.35,3,3,0.35,0.53,50,26.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
933,24334690,6,933,200,2000,2000,0.14,0.25,2,1,0.05,0.34,50,69.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
934,45437268,6,934,200,2000,2000,0.8,0.96,5,3,0.08,0.64,50,1675.15,0.0,0.0,141.16808244075574,0.0,0.0,2,0.7412043699885502,0,0.0
935,25561236,6,935,200,2000,2000,0.42,0.58,5,3,0.82,0.86,50,152.93,0.0,0.0,0.45287967496897014,0.0,0.0,19,0.1836616284739144,0,0.0
936,42975191,6,936,200,2000,2000,0.11,0.29,5,9,0.73,0.69,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
937,48086217,6,937,200,2000,2000,0.9,0.81,7,8,0.14,0.88,50,1823.05,0.0,0.0,33.58969335971973,0.0,0.0,2,0.6115761111615821,0,0.0
938,54192848,6,938,200,2000,2000,0.77,0.61,5,6,0.55,0.9,50,1520.95,0.0,0.0,18.866570965599447,0.0,0.0,12,0.1360234304216211,0,0.0
939,48714152,6,939,200,2000,2000,0.31,0.1,8,10,0.92,0.57,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
940,92842075,6,940,200,2000,2000,0.56,0.01,4,9,0.03,0.52,50,1174.13,569.9,476.33,134.3789905453974,44.34557475103914,63.94701791326943,3,0.474912096870118,14,0.6180376602441865
941,6712448,6,941,200,2000,2000,0.93,0.53,7,5,0.49,0.23,50,1858.34,0.0,0.0,12.973989363337708,0.0,0.0,11,0.22933029317199408,0,0.0
942,8865094,6,942,200,2000,2000,0.76,0.15,7,10,0.54,0.81,50,1502.02,0.0,0.0,18.340109050929872,0.0,0.0,15,0.17318530525069006,0,0.0
943,88929854,6,943,200,2000,2000,0.49,0.5,9,7,0.31,0.67,50,978.78,0.0,0.0,5.080511785243688,0.0,0.0,2,0.37040059508128137,0,0.0
