
------- Epochs: 200, Starting Epsilon: 0.2 -----------------------------------------------------------------------------


 - Run (184) 184 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (185) 185 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (186) 186 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (187) 187 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (188) 188 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 1
 - Run (189) 189 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (190) 190 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (191) 191 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 1
 - Run (192) 192 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (193) 193 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (194) 194 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (195) 195 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (196) 196 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (197) 197 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (198) 198 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (199) 199 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
 - Run (200) 200 / 200 excecuted, epsilon 0.9999999999999976, random actions 0, random actions on zero 0, max actions 2
